heap,bptree,hash,sequential,isam,brin,rtree
4.3869,1.0879,1.5061,1.04,1.2281,1.9169,4.575
0.1061,0.3293,0.3538,0.6378,0.4489,0.4222,1.7989
0.4051,0.916,1.792,1.5171,0.638,1.2298,6.1378
0.1159,0.2601,0.2429,0.5209,0.3128,0.2961,2.656
0.1061,0.241,0.2198,0.5078,0.313,0.2851,1.7371
0.0939,0.2329,0.2069,0.546,0.2892,0.3409,3.5322
0.0908,0.2351,0.2062,0.5147,0.9029,0.3009,1.7602
0.0899,0.2301,0.2072,0.6111,0.3159,0.2799,2.228
0.0961,0.2339,0.2031,0.5281,0.3109,0.3021,1.6801
0.087,0.6411,0.8941,0.5689,0.3119,0.2949,2.3999
0.088,0.242,0.2177,0.6101,0.3238,0.2899,1.4923
0.087,0.2291,0.2229,0.519,0.3421,0.2792,2.1391
0.0958,0.242,0.2189,0.7191,0.365,0.4039,2.2006
0.088,0.241,0.221,0.6669,0.3011,0.2918,2.0778
0.087,0.236,0.2098,0.6211,0.313,0.2851,1.4069
0.0868,0.267,1.1432,0.735,0.313,0.3052,1.7002
0.0861,0.2401,1.8542,0.6328,0.3631,0.3259,2.106
0.0882,0.2377,0.896,0.654,0.334,0.294,2.037
0.0861,0.2432,0.2892,0.5422,0.3371,0.2787,2.1813
0.0939,0.2649,0.2251,0.7601,0.356,0.3111,1.4169
0.087,0.242,0.231,0.7141,0.2899,0.3819,1.931
0.0856,0.397,0.3462,0.798,0.2728,0.3562,1.5521
0.0901,0.3049,0.2491,0.8249,0.253,0.2792,1.9429
0.087,0.334,0.2151,0.5641,0.2649,0.3121,2.0409
0.092,0.253,0.2139,0.617,0.2639,0.2921,2.0461
0.093,0.246,0.2029,0.7801,0.36,0.2751,1.8501
0.093,0.2401,0.2012,0.659,0.3903,0.2718,2.0909
0.0877,0.242,0.2551,0.7691,0.3409,0.288,2.1341
0.0939,0.2379,0.2024,0.5381,0.3278,0.314,2.059
0.0868,0.2348,0.2151,0.7482,0.4532,0.2799,1.5261
0.0861,0.3009,0.2339,0.716,0.3748,0.282,1.9729
0.0939,0.2999,0.205,0.787,0.355,0.282,1.9379
0.0958,0.345,0.1998,0.504,0.3479,0.3159,1.8981
0.0882,0.3409,0.1981,0.6161,0.3552,0.278,2.176
0.1349,0.2921,0.2148,0.6819,0.3588,0.3002,1.843
0.0992,0.3278,0.2282,0.701,0.3781,0.289,1.3659
0.0932,0.3259,0.2599,0.823,0.407,0.3018,6.9091
0.0889,0.262,0.2069,0.7119,0.3219,0.3021,1.61
0.0949,0.314,0.2131,0.772,0.3929,0.2961,1.8878
0.087,0.2608,0.2739,0.5138,0.3891,0.3939,2.1908
0.108,0.252,0.2241,0.6061,0.396,0.3421,2.001
0.0939,0.2542,0.212,0.854,0.2906,0.4659,1.8454
0.0949,0.6669,0.2081,0.7319,0.303,0.344,1.9522
0.0899,0.6289,0.2098,0.515,1.3258,0.3672,1.7762
0.0858,0.2759,0.21,0.8633,0.3769,0.283,1.6088
0.092,0.248,0.2618,0.5538,0.3798,0.3028,1.5459
0.0839,0.246,0.402,0.9568,0.4292,0.4251,2.1358
0.0851,0.288,0.3593,0.4501,0.4737,0.4961,1.924
0.0858,0.2451,0.237,0.7439,0.3829,0.33,1.8339
0.0858,0.2818,0.212,0.6592,0.375,0.3588,1.9767
0.0899,0.2861,0.2031,0.586,0.3791,0.325,1.5602
0.128,0.437,0.2141,0.591,0.34,0.2911,1.992
0.1862,0.2851,0.2108,0.6461,0.36,0.288,1.4269
0.1411,0.2842,0.247,0.911,0.3719,0.3271,1.4479
0.1202,0.2489,0.267,0.7539,0.509,0.3121,1.7881
0.1032,0.2489,0.2077,0.9022,0.4039,0.289,1.9338
0.1161,0.236,0.2029,0.6382,0.4189,0.3328,2.0962
0.107,0.2398,0.2081,0.9592,0.3128,0.3161,1.828
0.1051,0.2291,0.2177,0.684,0.299,0.3028,1.4501
0.103,0.2499,0.2208,1.0681,0.2952,0.2851,1.976
0.1712,0.2561,0.248,0.6421,0.289,0.2789,2.0001
0.1433,0.268,0.252,0.6161,0.3099,0.349,1.5922
