heap,bptree,hash,sequential,isam,brin,rtree
214.2611,0.9518,6.8626,1.297,0.6797,0.2329,6.1681
215.1408,0.073,7.05,0.349,0.3221,0.102,5.5559
211.8068,0.0689,3.7441,0.5,0.277,0.1049,4.0238
212.6682,0.0708,5.6689,2.3649,0.1709,0.109,2.5311
215.8668,0.066,3.3579,0.598,0.262,0.0982,2.2972
214.081,0.066,7.5009,0.4711,0.1571,0.098,5.0859
212.7681,0.0679,1.034,0.5109,0.155,0.0923,4.215
211.9057,0.0651,0.33,0.3078,0.1659,0.1009,2.0061
210.9578,0.0651,0.4821,0.7069,0.2449,0.0927,3.051
211.8862,0.0641,1.5481,1.5821,0.2429,0.098,3.1781
216.8751,0.0639,0.4029,0.3867,0.2601,0.102,2.5542
213.0828,0.0718,0.3579,0.5512,0.2677,0.0942,5.851
216.311,0.0691,0.34,1.22,0.282,0.1032,1.9038
213.0172,0.0648,0.3431,1.4131,0.2179,0.1049,2.9969
212.1179,0.0651,0.427,1.502,0.2649,0.128,3.9041
279.1712,0.0648,0.3901,3.921,0.2942,0.118,2.6
215.45,13.4051,0.4151,1.9412,0.174,0.679,2.0821
222.2009,10.3021,0.3781,0.6258,0.247,0.3898,1.7891
215.4641,0.073,0.417,0.2842,0.2518,0.088,2.6941
211.8342,0.0682,0.407,0.268,0.2403,0.0799,2.624
214.5681,0.0811,0.397,0.2511,0.201,0.0801,2.764
214.144,9.0411,0.3898,0.2131,0.2279,0.3648,3.8779
212.8589,0.0751,0.3619,0.253,0.1171,0.1142,2.985
212.9018,0.0701,0.402,0.2561,0.2511,0.0932,1.9631
212.9138,0.0679,0.3941,0.2689,0.1459,0.0987,1.6091
211.4081,0.0701,0.453,0.267,0.2322,0.0882,3.9229
210.2511,0.0677,0.376,0.2818,0.1361,0.0939,2.6858
212.1327,0.0651,0.5829,0.4721,0.2029,0.102,3.226
209.6171,0.067,0.524,0.5209,0.1481,0.1068,1.5552
211.596,0.0651,0.6351,0.5689,0.334,0.0968,3.464
211.5834,0.0658,0.3512,0.2801,0.18,0.107,1.2717
213.598,0.067,0.3648,0.262,0.2658,0.109,2.4602
223.5579,0.066,0.6711,0.2649,0.1459,0.107,1.231
215.7691,0.0701,1.0979,0.262,0.2191,0.108,2.5983
211.0159,0.0679,0.4873,0.2608,0.2513,0.0987,2.6481
211.7,0.0639,0.4253,0.268,0.2539,0.1051,3.1919
209.8141,0.0639,0.3629,0.268,0.1841,0.087,2.5694
211.8402,0.0668,0.3443,0.2639,0.242,0.0911,2.7809
209.3751,0.072,0.344,0.2627,0.1678,0.104,1.6999
210.768,0.0651,0.3293,1.265,0.2558,0.0939,2.799
211.0641,0.072,0.3309,0.7303,0.1547,0.1159,4.0631
210.794,0.0691,0.34,0.5219,0.2682,0.1018,2.6171
214.4301,0.0739,0.3321,0.3049,0.1509,0.1032,2.665
213.3741,0.0749,0.3352,0.289,0.2398,0.1101,3.7119
214.0942,0.0699,0.459,0.2842,0.2501,0.113,1.61
212.8761,0.0691,0.3839,0.289,0.1428,0.1011,1.7231
212.5168,0.0732,0.3872,0.2789,0.278,0.1059,1.761
212.064,0.0682,0.3388,0.2849,0.1652,0.1009,3.535
215.239,7.1008,0.3452,0.5069,0.2711,0.5581,1.7142
216.9471,0.0691,0.3619,0.3033,0.138,0.0999,1.75
213.0518,0.0751,0.3798,0.2851,0.154,0.1032,2.0733
211.9939,0.0691,0.4001,0.2999,0.282,0.0987,1.792
213.3241,0.0739,0.3619,0.2899,0.1311,0.0999,3.7403
210.9439,0.072,0.355,0.2809,0.2167,0.1018,1.6479
212.482,0.0639,0.3662,0.2842,0.2711,0.097,2.8901
210.891,0.0701,0.3829,0.2818,0.1788,0.1049,2.609
211.823,0.0658,0.36,0.2849,0.1709,0.102,1.6811
211.6001,0.073,0.339,0.289,0.176,0.1042,2.0328
211.215,0.066,0.365,0.2801,0.1762,0.0999,3.6178
212.4441,11.4279,0.345,0.2279,0.2639,0.2639,2.7752
211.0898,0.0708,0.3791,0.2701,0.1609,0.0889,3.7367
212.1542,0.0651,0.35,0.2897,0.2089,0.0851,1.6551
211.18,0.0687,0.3331,0.2789,0.2618,0.0811,1.8358
211.4949,0.0682,0.3393,0.2859,0.201,0.0792,2.3429
210.537,0.0641,0.3521,0.289,0.174,0.078,2.4498
211.0617,0.0708,0.339,0.2761,0.17,0.0787,2.3413
211.818,0.0639,0.3719,0.3591,0.2561,0.0789,2.805
214.5329,0.0682,0.3603,0.2611,0.1738,0.0787,2.1698
211.8478,0.0691,0.329,0.253,0.349,0.0761,1.6351
212.5928,0.0639,0.6659,0.2592,0.1321,0.0901,1.6708
212.5692,11.9171,1.2081,0.211,0.1168,0.2029,1.976
212.7669,0.0758,2.207,0.2539,0.3228,0.078,3.253
210.8657,0.0741,1.9498,0.2542,0.1981,0.0792,4.0891
214.2692,0.0639,1.8191,0.253,0.2687,0.0799,2.0258
212.935,0.0708,1.4999,0.2601,0.385,0.0782,2.6598
212.7857,0.067,0.427,0.267,0.2561,0.0777,1.6301
242.635,0.0708,0.3622,0.2739,0.16,0.078,2.3441
253.4499,0.071,0.3369,0.2639,0.1657,0.088,2.0258
222.2581,0.0639,0.3579,0.2608,0.289,0.0832,3.65
215.1752,0.0691,0.4621,0.2613,0.2501,0.0849,2.461
225.7328,0.077,0.402,0.2587,0.1438,0.0789,2.5811
215.7912,0.0651,0.5772,0.2658,0.1678,0.1161,2.0151
215.1432,7.051,0.8399,0.2072,0.1402,0.567,2.754
213.11,0.067,0.69,0.3579,0.133,0.118,1.9321
213.7332,0.0651,0.6292,0.469,0.299,0.1309,2.2979
213.7401,0.073,0.3588,0.2868,0.1452,0.1023,1.766
213.6509,0.0691,0.3729,0.5102,0.2849,0.1149,3.2632
210.5079,0.0739,0.4733,0.5372,0.2749,0.107,2.8269
212.3449,0.0687,0.4408,0.5167,0.1721,0.0851,4.4332
212.9369,0.066,0.978,0.489,0.2539,0.0978,3.9101
212.429,0.0708,0.6139,1.029,0.247,0.0958,2.692
212.0438,0.0691,0.3841,0.8061,0.2627,0.107,2.9542
212.7841,0.0651,0.447,0.4101,0.1202,0.1061,1.7149
220.6531,0.0739,0.8199,0.432,0.123,0.104,1.5459
211.7882,0.0691,1.1241,0.4032,0.282,0.1011,2.7552
211.9179,0.073,1.2629,0.402,0.1481,0.1159,2.6181
210.2108,0.072,0.849,0.4041,0.3028,0.1118,1.565
212.5378,0.0691,1.0052,0.4139,0.176,0.1054,2.4478
221.122,0.0651,1.1432,0.407,0.258,0.108,2.845
216.9857,0.066,1.1532,0.437,0.2658,0.109,3.1862
