heap,bptree,hash,sequential,isam,brin,rtree_point_to_point,rtree_knn,rtree_radio
215.6358,1.744,229.6882,1.476,0.6952,0.1931,6.3679,10.5803,3.8433
213.285,0.0861,191.149,0.308,0.3049,0.0839,4.138,8.0767,8.0321
214.489,0.0758,192.0259,0.289,0.2201,0.088,3.5441,8.5981,4.8652
213.918,0.072,188.951,0.2899,0.1302,0.0851,3.1817,8.0199,3.6192
214.6189,0.0701,191.601,0.2933,0.2038,0.0861,1.8902,9.1789,3.6149
214.9971,0.0701,187.8941,0.2842,0.128,0.0801,4.3609,8.28,7.9541
214.6058,0.0713,189.5339,0.2739,0.1311,0.0799,4.0541,11.9848,7.658
214.9241,0.0691,189.3182,0.2921,0.129,0.0792,2.0111,9.547,5.3189
217.793,0.0699,193.109,0.2728,0.1891,0.0799,3.7928,10.0601,6.0248
212.455,0.0691,185.4258,0.2692,0.221,0.0789,4.6468,11.5778,7.381
213.8112,0.0701,203.783,0.2732,0.1998,0.078,2.4133,10.3931,6.0341
210.737,0.0699,185.5078,0.2971,0.231,0.0808,4.6999,13.7663,9.3052
211.854,0.072,198.432,0.2892,0.1941,0.0811,1.8873,3.7341,3.3913
212.6679,0.072,188.668,0.2713,0.2069,0.083,3.0379,7.7901,7.093
213.6099,0.0701,191.422,0.272,0.1891,0.0811,2.882,7.442,5.595
212.6691,0.0701,189.4121,0.2739,0.1993,0.0808,3.0878,7.4677,5.662
214.107,12.7141,192.6138,0.4258,0.1271,0.0801,2.8169,8.6019,5.5351
213.6898,11.4489,187.9408,0.2639,0.201,0.078,1.9102,3.7339,3.5567
213.953,0.0842,190.382,0.339,0.3052,0.0808,2.9798,10.6831,5.4369
213.7208,0.0739,187.1879,0.371,0.263,0.0792,2.7208,9.5179,6.0911
213.1987,0.0751,191.9551,0.2902,0.1268,0.0808,2.7838,11.6549,5.9061
213.5239,9.6409,192.7118,0.2229,0.21,0.0808,3.8788,11.25,7.334
213.1269,0.0801,185.5869,0.2928,0.0992,0.0839,3.0608,9.3508,5.4858
