heap,bptree,hash,sequential,isam,brin,rtree_point_to_point,rtree_knn,rtree_radio
213.165,0.0741,196.6243,0.308,0.2513,0.0839,2.9209,9.7671,5.8787
214.0849,0.0777,185.154,0.2871,0.129,0.0789,1.5371,7.2939,3.089
213.8021,0.0761,205.6451,0.2759,0.2151,0.078,3.773,11.3451,7.4439
212.316,0.072,185.6241,0.2761,0.1011,0.0782,2.538,8.898,4.868
213.6798,0.0761,199.8432,0.272,0.1268,0.0789,4.0379,10.3979,8.0209
212.2519,0.0749,187.6743,0.2742,0.0997,0.0842,1.6789,8.781,7.4759
214.9782,0.0739,190.716,0.2799,0.2389,0.1018,3.6418,8.7488,6.5389
214.7079,0.072,187.4809,0.272,0.133,0.0839,1.2538,10.2611,4.2961
216.8219,0.073,192.1949,0.2751,0.236,0.087,2.403,8.9881,4.6511
214.3898,0.0732,186.075,0.2751,0.097,0.0858,1.174,8.3609,2.281
216.4817,0.073,194.706,0.272,0.134,0.0861,2.6019,13.6311,4.7791
213.4721,0.0739,190.1171,0.2711,0.2067,0.0901,3.01,11.5972,4.9961
215.143,0.0761,186.923,0.278,0.1941,0.083,4.3151,12.1789,6.1293
216.9948,0.0708,195.3979,0.2728,0.1209,0.0792,2.6131,7.1671,4.9562
214.5369,0.071,187.2451,0.2699,0.1869,0.0799,2.7578,5.527,5.343
213.9871,0.073,191.7276,0.272,0.1233,0.0782,2.533,6.9239,4.7882
214.3433,0.0722,185.5028,0.282,0.2022,0.0808,3.844,9.5918,5.1358
217.5529,0.104,190.8989,0.2699,0.0961,0.0799,4.0071,11.9419,7.6718
214.3159,0.0882,185.9939,0.2742,0.2279,0.083,2.5208,8.3029,7.9162
216.0311,0.0901,192.3892,0.2832,0.1211,0.0801,2.703,5.0519,5.0039
213.762,0.0923,184.1941,0.2789,0.195,0.0818,3.8762,11.4038,6.9981
215.04,0.0901,200.5808,0.2749,0.1922,0.0818,1.651,11.0779,3.2158
214.5302,0.0932,185.405,0.2697,0.0989,0.0792,2.691,9.5162,3.4292
214.0021,0.083,196.404,0.2918,0.2298,0.0813,1.8618,9.259,3.371
213.9311,0.0758,190.4829,0.277,0.1259,0.0832,3.7429,11.189,6.9549
214.155,7.7982,189.2731,0.3109,0.221,0.0792,2.6438,8.708,3.329
213.748,0.0999,190.2061,0.2749,0.0968,0.0792,1.9288,8.6958,3.422
214.227,0.1018,187.0859,0.2759,0.1259,0.0839,3.686,11.9822,5.7399
217.0289,0.0839,189.1229,0.284,0.2472,0.087,2.0852,10.1678,4.8778
213.985,0.0908,185.9608,0.2749,0.1009,0.0842,5.2612,13.2282,8.7872
214.2148,0.0889,192.5361,0.2811,0.128,0.082,1.8418,10.3443,3.346
213.3572,0.0939,185.972,0.289,0.221,0.0818,3.5992,5.3501,6.2881
214.4918,0.0927,193.7451,0.293,0.1268,0.0801,2.7008,7.7019,5.6071
215.425,0.092,185.1552,0.2749,0.1287,0.0787,2.9459,5.5258,3.2377
213.3319,0.0808,200.0577,0.2699,0.1192,0.0792,2.2089,10.1199,5.7471
217.5353,0.0908,185.1358,0.2701,0.1149,0.0827,4.2779,12.8977,8.626
214.8559,12.7239,193.7079,0.2062,0.2072,0.083,3.1519,12.9898,5.2509
212.9622,0.0782,187.1979,0.2739,0.0987,0.082,4.1747,13.3379,8.8229
213.6059,0.073,188.9718,0.2868,0.14,0.083,1.8449,10.102,3.3011
213.593,0.072,187.953,0.282,0.2048,0.0777,3.2461,8.5459,5.5852
216.0161,0.0832,187.99,0.2732,0.1168,0.082,3.9101,7.617,4.5922
213.9509,0.072,186.9719,0.2701,0.1259,0.0808,3.0782,10.968,4.8823
213.3739,0.072,187.8791,0.288,0.1211,0.0789,3.8679,13.227,6.4108
213.578,0.0761,188.5481,0.2737,0.2291,0.0792,3.3181,9.4719,5.4581
212.2011,0.0751,198.8759,0.2708,0.1338,0.0811,2.569,10.2441,4.096
214.0169,0.0787,206.7599,0.2739,0.1872,0.0789,1.6308,12.6262,3.8831
211.9241,0.0739,184.6149,0.2728,0.098,0.0882,1.744,7.6549,2.9759
214.632,11.4319,197.7549,0.2158,0.1118,0.0839,2.0049,7.2489,3.6979
217.4308,0.0787,185.7712,0.2689,0.232,0.0849,3.6192,6.9652,6.4518
214.4403,0.077,212.6541,0.283,0.1152,0.0789,4.4742,10.56,8.0428
212.9509,0.077,212.4763,0.2832,0.1931,0.083,3.3619,12.1758,3.9082
214.2799,0.0811,220.0723,0.2701,0.3312,0.0782,2.8961,11.4501,5.0917
213.6312,0.0849,205.0161,0.2811,0.2067,0.0782,3.5741,6.8741,4.478
213.6939,0.0792,221.518,0.2699,0.1321,0.0801,4.5183,9.1498,4.5111
213.9609,0.0799,194.248,0.2701,0.1521,0.088,2.1303,10.5009,3.7971
212.8301,0.0808,217.644,0.2692,0.236,0.0789,3.948,9.376,7.046
214.3929,0.0782,198.0989,0.2689,0.2,0.0789,3.144,8.5719,6.161
214.53,0.078,210.216,0.2699,0.097,0.0772,2.9299,10.8218,4.9102
213.547,0.0808,192.647,0.277,0.1249,0.0811,2.2278,10.5059,3.8049
219.4088,7.5099,214.9408,0.2031,0.1028,0.0799,3.0849,9.7017,5.46
214.8261,0.0751,196.1291,0.2868,0.104,0.0792,2.1639,6.7899,4.8931
214.2031,0.077,220.1412,0.2742,0.2589,0.077,3.871,9.6672,7.3488
213.887,0.0713,194.4089,0.2942,0.097,0.0789,1.832,3.5222,3.3128
213.866,0.0739,192.673,0.288,0.2382,0.0839,4.4739,6.7122,6.5961
213.546,0.0708,189.4472,0.2799,0.21,0.087,3.1161,7.5948,5.6469
213.079,0.0739,189.5888,0.2718,0.1221,0.0839,4.8838,13.0181,9.1519
213.87,0.073,247.93,0.2742,0.2081,0.0799,4.168,15.6,7.798
217.3722,0.0722,197.7479,0.2828,0.1872,0.0808,3.114,13.2947,7.0901
214.2222,0.071,198.9949,0.2689,0.1919,0.0799,4.5402,9.8491,5.9819
219.5749,0.0761,186.187,0.2749,0.0987,0.083,1.9462,10.345,3.4578
213.789,0.072,200.6118,0.2692,0.0989,0.0813,2.991,10.473,5.3241
214.292,0.0708,185.5361,0.278,0.2413,0.0849,3.346,10.1891,6.3269
215.668,0.0701,191.8199,0.2782,0.108,0.083,4.353,12.6379,5.9679
215.0726,0.072,186.1718,0.2761,0.2291,0.0801,2.4843,10.4439,4.7622
214.2229,0.073,191.6001,0.2809,0.1168,0.0861,2.5318,6.7661,4.9298
214.8659,0.0708,188.5419,0.2711,0.1848,0.077,3.001,14.59,8.7669
212.6331,0.0699,222.981,0.2701,0.2649,0.0803,3.2561,6.2671,6.4211
