heap,bptree,hash,sequential,isam,brin,rtree_point_to_point,rtree_knn,rtree_radio
108.35,0.0718,188.3061,0.4048,0.1159,0.0827,4.693,14.0219,9.6149
107.2531,0.071,187.2118,0.277,0.1121,0.077,1.749,9.5711,3.2971
108.407,0.073,186.9769,0.2708,0.093,0.078,3.628,15.5158,6.8622
108.216,0.0699,187.5582,0.2732,0.1149,0.0772,2.2459,4.7371,4.2181
108.408,8.6563,188.5853,0.2942,0.2019,0.0851,1.626,3.768,3.159
107.0499,0.072,189.214,0.2739,0.0932,0.0858,4.323,8.9839,8.1358
107.481,2.0392,191.9749,0.247,0.2503,0.078,3.206,10.6692,7.1139
108.532,0.0679,194.1261,0.283,0.0892,0.082,2.2759,8.4982,4.298
108.6991,0.0677,184.0458,0.2799,0.0892,0.078,3.8478,7.8959,7.1561
107.4271,0.0713,200.0048,0.2732,0.1118,0.083,3.093,11.7419,5.034
107.4569,0.0679,186.1579,0.2732,0.0942,0.078,1.8849,8.6143,3.5949
108.14,0.0699,192.6038,0.2711,0.118,0.078,4.6709,13.3932,5.76
108.4702,0.0668,184.958,0.2842,0.0939,0.104,3.2692,9.7871,6.2718
106.216,0.0682,189.1429,0.2682,0.0856,0.0942,3.5372,8.7652,6.923
106.879,0.0703,186.6331,0.268,0.0861,0.0823,2.7978,12.7633,5.481
108.2859,0.073,188.489,0.2689,0.088,0.0813,2.6612,7.3328,5.1451
109.026,5.044,186.8091,0.2158,0.0851,0.0777,3.0072,5.708,6.1612
108.2432,4.6341,191.251,0.2069,0.092,0.077,2.5749,8.709,4.2996
107.918,0.0691,187.5219,0.268,0.092,0.0789,2.4662,8.5242,3.8259
108.5341,9.4841,187.5088,0.1669,0.227,0.0839,3.5939,10.905,6.984
107.0631,0.0689,196.1143,0.268,0.1128,0.083,3.1919,9.6531,7.1809
108.3381,0.0708,183.476,0.2811,0.1988,0.0808,4.1521,8.2457,8.1449
108.3131,6.9261,210.057,0.212,0.0877,0.0789,3.1109,11.179,5.924
107.3959,0.0682,185.2362,0.2708,0.0911,0.0823,1.646,4.3609,4.334
110.0421,0.0749,191.7768,0.2711,0.1271,0.0789,3.6042,11.4899,6.9408
109.3578,0.0699,185.3919,0.267,0.0889,0.0792,3.7968,10.6969,8.5421
108.5951,0.0691,189.4498,0.268,0.0901,0.0801,3.268,12.475,5.203
