heap,bptree,hash,sequential,isam,brin,rtree
28.451,5.7459,2.3029,0.778,9.0532,0.8597,7.107
21.9321,7.0901,0.6409,0.3138,1.2431,0.3378,3.9032
26.3672,11.77,0.371,0.253,1.878,0.3328,3.2697
21.3511,6.475,0.3641,0.2091,0.128,0.2072,2.6922
23.104,7.0353,0.4542,0.205,0.1009,0.195,2.938
23.9499,4.6291,0.4077,0.1822,0.0961,0.205,2.5518
29.2091,12.0831,0.3312,0.2277,0.324,0.773,3.0639
23.3021,6.336,0.375,0.2182,0.3541,0.2408,1.42
24.6339,4.6117,0.3579,0.2029,0.3231,0.2177,3.5269
21.997,12.2879,0.381,0.1938,1.3111,0.195,3.4251
22.033,9.207,0.3338,0.2429,0.4141,0.3631,1.2891
22.4681,3.078,0.5009,0.1929,0.1922,0.1941,3.9818
21.8682,5.661,0.4117,0.205,0.1042,0.211,3.1161
21.4448,5.132,0.356,0.2029,0.1838,0.2429,3.2721
22.3429,7.03,0.365,0.21,0.2329,0.339,1.7748
22.2878,4.6439,0.5059,0.21,0.108,0.1881,2.8961
22.7489,11.1449,0.3231,0.2081,0.0961,0.1926,4.5199
22.1732,0.1669,0.3481,0.252,0.1109,0.448,2.4569
21.6382,3.562,0.3221,0.2222,0.2079,0.2401,4.432
22.4073,2.213,0.3479,0.2482,0.1571,0.396,2.8741
21.1282,0.2,0.3512,0.195,0.1898,0.1857,2.9969
21.2831,9.104,0.3269,0.2103,0.1719,0.201,3.526
21.1761,6.15,0.3242,0.21,0.1662,0.206,2.9969
21.3161,0.6561,0.3269,0.2098,0.289,0.3319,2.4359
21.2591,7.1907,0.4001,0.2079,0.1242,0.2062,3.1571
21.6289,0.1862,0.3512,0.1841,0.0961,0.2019,3.8772
21.2891,9.4893,0.3471,0.201,0.0942,0.2177,3.6621
21.3361,2.2218,0.3359,0.2692,0.0949,0.2069,2.687
21.579,4.086,0.3929,0.2198,0.2038,0.1898,3.2909
21.5971,1.3881,0.349,0.2189,0.1981,0.3369,3.7901
22.2521,11.1918,0.3529,0.216,0.0949,0.2131,3.4571
21.8351,8.4872,0.3901,0.21,0.4029,0.2081,3.1011
21.6887,6.29,0.3438,0.2398,0.5739,0.206,2.759
21.445,5.8539,0.344,0.5372,0.2801,0.1969,1.8628
21.0402,2.064,0.3579,2.5611,0.288,0.211,2.7578
38.3911,7.829,0.3731,0.303,0.2141,0.2418,2.6829
28.6062,5.1761,0.4611,0.2229,0.1588,0.2031,2.7909
23.4218,11.2689,0.349,0.2351,0.1609,0.2069,2.8419
22.4462,6.933,0.3421,0.237,0.1061,0.205,1.7159
22.203,3.8762,0.3469,0.2289,0.1001,0.1922,2.955
22.45,5.2879,0.345,0.222,0.1011,0.1941,5.1122
22.3103,11.688,0.3443,0.2732,0.1123,0.1879,3.16
22.5441,2.1031,0.3278,0.3321,0.0939,0.2079,2.9471
22.3238,10.3521,0.35,0.211,0.0951,0.2391,2.7809
22.4118,0.875,0.392,1.0302,0.0949,0.283,1.6849
22.4588,11.5998,0.3581,0.2449,0.0939,0.1972,2.183
22.444,6.1522,0.361,0.2201,0.097,0.1719,3.495
22.1412,7.637,0.325,0.289,0.1981,0.1919,2.3201
21.9152,9.4471,0.3219,0.2213,0.1121,0.1931,4.3111
22.2518,8.7779,0.324,0.2003,0.097,0.1822,3.3989
22.2831,7.169,0.3471,0.2189,0.1028,0.1841,2.9089
22.6469,2.0349,0.3319,0.222,0.0982,0.18,1.3919
22.5351,5.882,0.3538,0.2303,0.0999,0.1791,3.052
22.804,2.157,0.3519,0.2139,0.0939,0.185,4.288
21.817,8.059,0.344,0.1941,0.0932,0.1915,3.2778
21.8079,2.445,0.3479,0.2191,0.092,0.1929,3.8521
22.3889,9.7339,0.4332,0.2139,0.097,0.1798,1.5099
22.5821,0.514,0.443,0.2241,0.0989,0.1941,4.4029
22.6829,10.0071,0.3562,0.2239,0.0949,0.1998,2.7409
21.6398,9.378,0.3471,0.2282,0.092,0.1853,2.6639
21.764,10.6859,0.3369,0.1791,0.1891,0.1731,3.9012
21.9719,3.212,0.3531,0.2072,0.1121,0.1979,2.8479
21.8079,5.054,0.3541,0.2198,0.2069,0.191,2.8138
22.182,12.5291,0.3469,0.2201,0.113,0.1879,2.26
21.9579,10.6931,0.3488,0.19,0.1009,0.185,2.964
21.277,2.234,0.3493,0.2201,0.098,0.1922,2.598
22.0129,8.8971,0.36,1.467,0.0949,0.1848,2.507
21.771,0.3798,0.3448,0.35,0.093,0.2,2.857
21.8389,4.7021,0.3471,0.2229,0.093,0.185,2.7723
22.083,9.0752,0.3281,0.1919,0.0932,0.206,2.6259
22.1939,5.9788,0.33,0.2189,0.0932,0.1831,3.114
21.8101,11.5929,0.35,0.2213,0.1149,0.1869,2.9171
21.3571,8.075,0.3312,0.2141,0.097,0.1979,3.2539
21.5659,8.6288,0.3269,0.2303,0.098,0.1872,2.2342
21.3561,8.6253,0.3271,4.9536,0.2732,0.181,4.5841
21.4779,2.4159,0.3448,0.2961,0.0999,0.2079,2.84
77.6799,11.435,0.3431,0.2141,0.1101,0.19,4.1633
24.6181,4.118,0.3448,0.2189,0.0939,0.1822,2.6531
22.5189,1.899,0.344,0.2201,0.1171,0.195,2.157
21.4736,9.2149,0.345,0.2222,0.0949,0.1721,2.068
21.5728,1.132,0.3521,0.222,0.0978,0.1941,2.7959
21.5392,10.5178,0.3438,2.166,0.0901,0.1853,4.2019
21.4758,5.4462,0.334,0.4632,0.092,0.1988,2.6019
