read,write
96,6
66,6
84,6
58,6
57,6
52,6
35,6
99,6
23,6
12,6
33,6
47,6
96,6
51,6
117,6
18,6
102,6
104,6
28,6
51,6
81,6
121,6
45,6
66,6
98,6
32,6
65,6
136,6
24,6
106,6
28,6
78,6
127,6
51,6
139,6
20,6
102,6
101,6
63,6
37,6
85,6
63,6
23,6
150,6
53,6
43,6
133,6
51,6
106,6
34,6
