heap,bptree,hash,sequential,isam,brin,rtree
0.9966,20.0422,61.0023,13.0086,0.9971,1.9588,3.0077
0.9971,0.9978,29.999,8.9912,1.0014,2.0084,2.9926
1.9786,0.9987,28.0416,8.0371,1.9968,1.9934,3.0015
1.0357,0.9713,26.9616,6.9668,0.9997,2.003,3.0005
0.9682,0.0,26.0339,7.0329,0.9999,1.9991,3.9999
1.9989,1.0283,27.0019,6.0024,2.0015,3.0043,3.006
1.9953,1.004,27.1614,3.9604,0.9997,1.9948,3.9949
0.9995,0.9978,25.0027,10.0386,1.0083,2.003,3.0
3.0098,0.9961,31.9963,2.0006,0.9978,3.0024,2.995
1.9965,1.003,33.9999,0.9656,1.0002,1.9927,2.0008
2.0003,1.0016,36.0084,4.0076,0.9992,3.0,2.9984
1.9927,0.999,32.0041,3.9926,2.0003,3.0019,3.0046
2.0013,0.9649,31.9848,10.0117,0.9978,2.9991,2.9993
1.9968,1.0006,32.0072,5.0206,1.0333,3.0146,3.0
1.0078,2.0356,36.0014,11.014,0.9799,1.9903,3.0
1.9991,0.9997,31.9967,0.9534,0.9844,2.9948,1.9975
3.0351,0.9999,33.0071,11.0381,1.0049,2.0158,3.001
2.001,1.0037,29.9881,10.9918,1.9965,2.9843,4.0011
1.9653,0.9685,32.0063,2.0037,1.0047,3.0067,2.9984
2.0363,0.9873,31.9984,4.967,1.0149,2.9948,2.0037
1.9963,1.0047,32.9957,7.0348,0.9859,2.0046,2.9953
0.9997,1.0378,33.0014,11.9908,1.0004,1.9982,2.0013
0.9646,0.9966,32.0022,3.9754,1.0009,2.9976,2.9984
2.0392,0.9654,32.0387,6.0003,0.9964,2.9998,3.0017
0.9561,1.0502,30.9973,10.005,0.9997,4.0052,2.0018
1.0054,0.9961,29.9988,3.0274,0.9942,1.9929,1.9977
1.9991,0.989,29.9597,6.963,1.0307,2.0068,2.9986
1.0378,0.9644,33.0231,12.0356,1.9791,2.9976,2.0008
1.9672,1.9965,30.9842,2.0034,0.9966,2.0001,3.0162
0.9954,0.9999,29.9976,9.9664,0.9942,2.9976,2.984
1.0023,1.0002,28.9998,2.0022,0.9985,3.0079,2.9991
2.0361,1.9996,28.9958,7.9978,1.0123,1.96,3.999
1.0102,0.9999,31.0059,11.9934,0.9933,1.9999,3.0005
0.9897,1.0002,29.994,4.9992,2.001,3.0031,3.0012
2.0006,1.0045,31.0047,12.0382,0.9978,2.001,1.9984
0.9587,0.9968,30.9951,1.0066,1.0002,2.9938,2.9995
2.0025,1.0037,30.0393,9.9602,1.0333,3.0034,2.0003
1.0371,0.9987,28.9667,9.0315,0.9999,2.9979,3.0093
1.9584,1.0006,31.2164,6.9656,0.9661,1.9999,1.9994
1.0042,0.9997,29.9935,3.0043,1.0338,1.9994,1.9987
1.0383,1.0002,32.0024,7.0307,1.0028,1.004,3.0038
0.9992,0.9978,30.004,4.9622,0.9654,2.002,2.9998
2.0006,0.0,31.9977,2.0349,1.0326,3.0017,1.991
0.9971,1.003,31.002,12.9662,0.9995,3.0041,3.0274
1.0006,0.9997,27.9996,5.0015,0.9663,4.0078,1.977
1.0037,0.9999,29.9931,4.0028,1.0357,3.994,2.9986
2.0001,1.0002,32.0084,12.7318,0.998,2.9953,2.9969
0.9978,0.9995,27.9918,4.0379,0.9723,5.0046,4.0078
0.9975,1.0018,30.0391,7.9646,0.9909,2.9984,2.9979
2.0039,1.0049,27.9686,3.0017,0.9987,3.0022,3.0043
0.9623,0.9956,31.0004,3.0026,1.0018,3.0036,3.0003
1.0347,0.9997,28.9919,1.997,2.0039,2.9936,1.9965
2.0046,0.9987,31.0378,3.9973,0.9961,6.9957,3.3841
0.9651,0.999,30.9701,6.001,1.0035,3.0019,2.6286
0.9911,1.0052,29.9976,2.0013,0.9983,3.9997,2.022
2.0058,1.0004,30.0336,10.9975,2.013,4.003,2.9671
1.0457,0.9985,29.9606,3.0079,0.9887,4.0038,2.0123
0.9959,0.9975,30.0465,12.9893,1.0023,2.9893,3.0375
1.9958,0.0,29.9609,6.0072,0.9966,3.0053,1.9605
0.9956,0.9933,27.9973,11.992,0.9987,3.0077,2.0382
0.9682,2.0399,31.0009,8.008,0.9985,2.9898,2.9595
2.0332,0.9656,28.0006,13.9964,1.0023,1.008,4.0002
1.9593,0.9999,27.0011,8.0001,0.9968,2.9936,3.9992
1.0042,1.0009,27.9927,6.9985,1.0042,3.006,3.0019
2.0239,1.0006,29.0358,7.0357,0.9973,3.0007,4.0002
1.0033,1.0006,26.9997,8.9719,2.0032,3.9971,4.0002
1.0099,1.0016,28.9729,6.9942,0.9983,3.9992,4.0398
0.9978,0.9959,29.0091,9.001,1.0004,4.0488,3.9635
2.0013,0.0,30.9906,9.0089,1.0006,2.9485,3.0351
0.9663,0.9992,28.0025,13.9856,0.9992,2.9993,3.9628
