heap,bptree,hash,sequential,isam,brin,rtree_point_to_point,rtree_knn,rtree_radio
21.6131,11.2829,214.453,0.2661,0.1001,0.0868,3.7551,10.3402,6.4609
21.4901,8.6112,218.179,0.2759,0.0961,0.0849,3.7503,7.8218,5.6231
21.3771,6.1409,206.074,0.2723,0.0951,0.0918,2.6031,12.4009,5.2381
20.8769,5.8401,188.3471,0.2589,0.0951,0.0768,2.178,3.4578,3.401
21.3501,1.9867,193.83,0.2551,0.098,0.087,2.743,8.5239,5.2989
21.1427,7.7412,201.5769,0.257,0.128,0.0839,2.7211,10.0839,5.197
21.3697,5.0728,208.2889,0.2799,0.093,0.087,3.3221,9.0151,6.9571
21.2109,11.2941,189.2159,0.2911,0.0761,0.0827,2.6419,12.2981,5.1489
21.3029,7.0179,191.8228,0.2649,0.0799,0.0839,3.5567,7.412,3.067
21.8229,3.8798,189.647,0.2389,0.0992,0.0849,2.7621,15.512,5.4011
21.7612,5.0628,262.8202,0.2823,0.1051,0.083,4.7522,12.3272,9.2432
21.419,11.4808,198.298,0.2739,0.0808,0.0811,3.525,10.272,6.8829
21.3268,1.9281,195.7982,0.236,0.0801,0.083,4.5261,13.963,5.2869
21.3652,9.7461,195.4851,0.2711,0.0877,0.083,2.7502,13.9799,5.2102
21.1918,0.834,203.8751,0.211,0.0923,0.0811,1.5941,11.5352,3.1681
22.1331,11.4229,203.82,0.212,0.093,0.0808,2.0151,13.8011,5.8753
21.5433,5.9471,197.7391,0.2041,0.0858,0.073,3.0842,13.6971,5.9509
21.5642,7.5588,202.3299,0.2198,0.1431,0.0811,3.3569,11.9293,8.203
21.661,9.5489,206.2581,0.248,0.098,0.082,5.0778,11.9989,9.1918
22.8999,8.9233,216.1722,0.196,0.0799,0.073,3.2461,9.1999,6.249
21.765,7.1688,197.6089,0.226,0.0839,0.0811,3.3772,10.4892,6.8181
21.1501,1.9932,192.2529,0.2239,0.0961,0.0813,2.481,8.2459,4.5581
21.4226,5.6868,223.2919,0.3631,0.109,0.0761,2.877,11.9672,8.1751
21.1382,2.176,195.8311,0.2618,0.093,0.0932,3.9239,11.6539,7.9041
21.4767,7.9739,187.3541,0.252,0.1118,0.0801,3.1641,8.7039,6.2821
21.1473,2.398,195.507,0.288,0.0958,0.082,3.485,10.7219,7.2651
21.4317,7.9229,187.3469,0.263,0.093,0.0951,2.465,7.4689,4.807
21.2169,0.4599,238.6682,0.2401,0.0968,0.0961,3.9251,11.7707,7.7581
21.265,8.7061,199.532,0.2499,0.1092,0.0939,3.5601,9.0208,7.05
21.1017,8.4262,199.682,0.2601,0.0939,0.1032,3.6328,9.0272,5.0223
21.3788,10.0191,189.9641,0.2031,0.2391,0.0961,5.0819,10.561,8.3408
21.2653,2.3491,191.3111,0.242,0.0849,0.098,2.7549,8.899,5.2919
21.7781,4.4868,189.4441,0.2918,0.0961,0.0799,3.577,12.31,5.1708
21.364,11.4031,191.4577,0.2689,0.0999,0.0939,2.13,8.3909,4.24
21.565,10.1299,186.8668,0.2339,0.097,0.0918,2.9731,11.6959,5.8577
21.2209,2.2142,202.9119,0.2801,0.0961,0.0939,2.8889,8.6472,5.2881
21.7102,8.6131,189.8308,0.2539,0.0751,0.092,3.9132,12.1469,5.2001
21.544,0.3588,194.4258,0.293,0.0782,0.0911,3.6769,11.3039,7.0381
21.6551,4.503,196.2831,0.2739,0.0801,0.0823,3.0079,11.8651,5.2152
21.4798,8.4589,185.5092,0.2258,0.0758,0.0908,4.3228,10.793,6.345
21.637,5.5742,199.6102,0.2172,0.0832,0.0951,3.0839,9.5849,5.832
21.3833,10.9389,184.5312,0.222,0.0761,0.0951,3.093,9.685,5.7459
21.4112,7.6461,198.2999,0.2522,0.0858,0.1209,3.2251,10.1221,8.0121
21.5371,8.4443,185.9179,0.2308,0.0761,0.0932,2.357,7.6253,4.1847
21.5108,8.2612,191.0408,0.206,0.072,0.0858,4.7309,14.7552,8.867
21.2281,2.1801,190.295,0.226,0.0739,0.0832,2.7421,12.146,5.2419
21.3063,10.5221,190.9933,0.221,0.0722,0.072,3.9968,11.7152,7.5309
21.2791,3.906,185.7321,0.2248,0.077,0.0861,2.6391,10.005,6.0108
21.3151,1.7149,197.022,0.2151,0.0787,0.088,1.9479,9.5489,3.67
21.3039,9.3157,186.1749,0.2198,0.0749,0.0708,1.9317,12.0041,5.5571
21.2858,1.1537,193.6738,0.2229,0.0758,0.082,2.589,9.8541,5.0459
21.4932,10.5851,195.0569,0.226,0.0751,0.0749,4.1947,14.7979,7.9203
21.6711,5.456,187.073,0.1993,0.073,0.0808,2.2941,12.5909,7.529
21.5487,7.2129,194.869,0.2003,0.0792,0.083,4.0741,16.6841,7.5731
21.601,4.8642,191.6399,0.181,0.077,0.0808,4.137,12.537,6.062
21.6172,8.0602,192.1029,0.2239,0.0749,0.0799,3.531,11.6091,7.2
21.426,7.8418,187.87,0.1831,0.0739,0.0801,2.7163,9.8927,5.187
21.8859,8.184,192.1701,0.2112,0.073,0.0808,2.9869,11.8952,5.8489
21.26,1.2002,186.049,0.2198,0.0741,0.0839,3.9811,12.501,5.9903
21.6351,2.5983,191.2861,0.2158,0.073,0.0839,2.0711,9.933,3.9413
21.0738,3.0737,184.2222,0.2141,0.0789,0.0739,2.5239,9.5479,3.7577
21.3501,2.383,203.8579,0.2213,0.0861,0.0808,2.5988,7.71,5.06
21.173,0.9198,185.2899,0.1879,0.0761,0.0808,3.4399,11.0021,7.0059
21.1449,10.1371,191.9072,0.2089,0.0768,0.071,3.15,9.7678,6.3598
21.1699,7.787,189.867,0.195,0.0732,0.0813,2.1679,13.1111,4.0929
21.265,7.0648,187.8572,0.2162,0.0789,0.0811,4.884,10.7651,7.8237
21.1651,0.9851,190.5317,0.1762,0.092,0.0851,3.073,9.0129,5.2679
21.3802,2.5139,185.935,0.2408,0.0839,0.0842,3.0479,13.1037,5.2621
21.1778,2.8441,189.791,0.2608,0.083,0.0708,2.4991,4.792,4.267
21.4009,3.2041,185.2491,0.2458,0.0882,0.072,2.8291,10.9057,5.0268
