heap,bptree,hash,sequential,isam,brin,rtree_point_to_point,rtree_knn,rtree_radio
26.9928,6.4492,193.6069,1.478,1.1051,0.293,7.019,11.7843,4.9269
21.878,6.6819,192.287,0.334,0.53,0.098,3.8319,5.8241,5.2681
21.5292,12.105,186.132,0.2959,0.8304,0.097,5.827,13.0761,6.9151
21.538,6.932,195.3537,0.2232,0.0801,0.0949,2.7299,12.9862,5.6479
21.4047,6.7389,185.7457,0.227,0.0792,0.0942,2.5129,8.6422,4.787
21.596,4.8699,197.8071,0.1981,0.0787,0.0808,4.467,12.4133,4.5981
22.4569,11.5621,186.6679,0.2472,0.1199,0.092,2.774,13.586,5.2629
21.8332,6.0179,190.1071,0.2282,0.1171,0.0949,2.6228,9.0079,4.699
21.6751,4.4982,188.9868,0.2182,0.077,0.0818,3.1021,9.0382,5.3313
22.0153,11.8992,190.7618,0.1998,0.0761,0.0911,3.5439,11.7209,8.0159
21.5158,8.9381,193.0799,0.242,0.253,0.0927,1.368,9.9709,2.4409
22.0497,3.1989,191.1099,0.196,0.1101,0.073,3.5269,8.7643,6.2888
22.121,5.7061,189.2741,0.2148,0.0761,0.0858,3.593,10.4768,6.9089
21.8921,5.6171,189.0271,0.2408,0.1249,0.088,3.2289,8.4202,6.063
21.3311,7.1051,194.8662,0.2232,0.104,0.083,1.7569,3.4418,3.4161
21.697,4.7629,186.0139,0.222,0.0801,0.0761,3.3031,5.5113,5.2819
21.8229,11.9331,206.274,0.2151,0.1342,0.0801,4.2167,11.5483,7.6711
21.4086,0.1438,185.6799,0.37,0.0858,0.092,2.1777,9.5451,4.0078
21.3661,3.5532,195.616,0.2248,0.1528,0.0811,3.5503,7.127,6.7482
21.3099,2.4321,185.487,0.3252,0.1748,0.0901,2.3689,11.6441,4.4129
21.5049,0.2053,192.9071,0.2198,0.1428,0.0823,2.7163,8.7011,5.2433
21.4667,9.4781,187.0131,0.3052,0.1602,0.073,3.2449,8.467,6.238
21.4348,6.9478,192.2138,0.2921,0.0851,0.0861,2.9919,10.88,5.3952
21.1117,0.6719,217.5608,0.284,0.1421,0.0799,4.0183,11.7471,7.6082
21.2748,5.954,213.0809,0.2661,0.0873,0.0701,2.862,11.585,5.7197
21.4009,0.1509,199.167,0.2191,0.098,0.0832,3.202,8.4791,6.3939
21.6749,9.2239,207.0332,0.241,0.0958,0.0808,4.2422,13.2661,9.1569
21.1689,2.0537,244.149,0.237,0.0958,0.113,2.5718,12.748,5.0552
21.2142,4.0209,228.4839,0.355,0.1569,0.0954,3.1359,9.5429,6.794
21.1442,1.3511,202.27,0.3629,0.1209,0.0899,3.6402,10.9391,7.5641
