heap,bptree,hash,sequential,isam,brin,rtree
106.344,18.219,40.699,0.3788,0.149,0.2828,13.586
106.7789,18.837,22.4929,0.3242,0.1092,0.247,7.1652
105.8707,19.5751,23.9019,0.3421,0.1059,0.298,4.8602
106.2841,18.6629,24.3232,0.335,0.104,0.2389,4.5328
106.1802,18.239,11.3711,0.2518,0.103,0.2458,6.0658
110.6761,17.699,22.0239,0.3371,0.1042,0.3209,5.0168
106.8931,19.8359,11.709,0.3369,0.1051,0.2391,4.9679
106.6022,17.9582,23.6969,0.3629,0.104,0.2213,8.394
105.7501,17.4301,21.7638,0.3352,0.1109,0.2282,5.445
106.3931,19.9313,22.428,0.3283,0.1142,0.2298,6.5603
106.4169,19.0308,20.8862,0.2959,0.1307,0.2401,2.4481
106.8559,17.0481,20.5481,0.2692,0.1049,0.2298,4.458
108.094,17.8311,20.5519,0.2654,0.1032,0.3059,7.7977
107.7762,18.2142,20.448,0.2718,0.103,0.2601,6.7618
107.374,18.9438,10.2642,0.2811,0.1218,0.2341,4.0329
106.9441,17.8659,10.2999,0.2739,0.1061,0.2289,4.5741
106.8561,20.3509,20.787,0.2649,0.103,0.2282,5.692
107.717,16.5617,10.3428,0.2871,0.109,0.2482,5.7607
107.4581,17.612,10.2551,0.2482,0.103,0.2449,4.8411
105.72,17.1568,20.5019,0.2787,0.107,0.246,3.0472
105.768,16.3829,20.4549,0.2809,0.108,0.232,4.19
105.633,19.5761,10.3061,0.3352,0.1299,0.2451,2.8789
105.859,18.3051,11.3158,0.2491,0.1032,0.232,3.1807
107.4839,16.6121,21.9879,0.246,0.1042,0.2351,4.4973
106.3702,18.0428,10.8421,0.1969,0.108,0.247,5.033
106.0569,16.3021,10.793,0.2341,0.108,0.3011,6.8021
106.6542,19.419,24.7281,0.253,0.107,0.252,5.9528
107.136,16.7811,11.9591,0.288,0.1049,0.247,6.2051
106.1451,17.3972,23.7811,0.289,0.1037,0.232,4.74
106.5049,16.4218,11.5561,0.2811,0.104,0.2549,6.793
105.746,19.8371,10.9189,0.2768,0.1078,0.263,7.0078
106.045,18.9891,10.7501,0.2422,0.1092,0.2568,5.9972
106.9908,18.2259,21.3101,0.252,0.129,0.2401,3.741
106.3287,18.0953,11.6239,0.3898,0.107,0.246,3.7251
108.5832,16.592,22.1922,0.309,0.1101,0.2477,3.9139
106.7019,18.5471,10.7059,0.253,0.1578,0.2651,4.895
105.5512,17.5872,21.3089,0.2439,0.1349,0.2439,6.8309
106.087,19.778,20.865,0.2301,0.1218,0.2742,2.8489
106.055,18.852,20.6678,0.2348,0.1211,0.2518,5.8231
106.262,17.6928,10.3271,0.2441,0.119,0.2329,3.1829
107.1391,18.292,10.2909,0.2229,0.119,0.237,4.2949
106.8969,20.6022,10.2642,0.211,0.1149,0.2356,5.985
106.945,17.1018,10.2501,0.2367,0.1152,0.3109,2.4071
105.9291,19.5119,21.023,0.4752,0.1128,0.3541,4.5478
106.2622,16.6228,20.4749,0.2887,0.1149,0.246,4.3221
105.706,20.273,10.2761,0.3021,0.113,0.2351,1.9441
106.174,17.9811,20.4401,0.3421,0.1137,0.2732,4.2799
106.1888,18.6751,20.5424,0.329,0.1152,0.2439,5.1131
106.3411,19.2029,10.3033,0.246,0.1159,0.2239,4.1561
