heap,bptree,hash,sequential,isam,brin,rtree
29.6431,1.7991,2.2662,0.967,1.9917,1.451,2.635
0.1159,0.324,0.2179,0.5589,0.3541,0.5162,2.1179
0.411,1.2178,3.2201,1.4119,0.6032,0.9711,4.5891
0.102,0.3142,0.2019,0.5372,0.2389,0.2942,2.8498
0.0908,0.293,0.1791,0.5789,0.2372,0.2809,2.3048
0.0911,0.2711,0.175,0.556,0.2589,0.2832,2.6519
0.0882,0.3321,0.175,0.535,0.237,0.278,1.8611
0.0918,0.2811,0.1748,0.5918,0.2413,0.2711,2.1038
0.083,0.2701,0.1802,0.7381,0.6709,0.2909,2.1141
0.0823,1.344,0.3331,0.6208,1.02,0.2961,6.48
0.0899,0.2928,0.1853,0.6211,0.2949,0.3481,2.0511
0.0839,0.2749,0.1791,0.6349,0.4661,0.2959,2.0728
0.087,0.2739,0.1798,0.6533,0.2601,0.2959,1.5759
0.0861,0.3009,0.1769,0.7408,0.2501,0.3181,1.5533
0.0851,0.4041,0.18,0.7191,0.2501,0.299,1.6658
0.128,0.334,0.1841,0.8168,0.252,0.2811,1.8871
0.0961,0.334,0.2351,0.6599,0.2522,0.3169,1.8442
0.0992,0.3042,0.1891,0.7229,0.2668,0.3898,1.4803
0.087,0.282,0.2329,0.6089,0.3939,0.289,1.3378
0.0899,0.2818,0.3362,0.7932,0.2632,0.2899,2.003
0.0939,0.2792,0.2398,0.849,0.277,0.3128,2.1579
0.0939,0.4978,0.2282,0.912,0.2539,0.4551,4.6949
0.0918,0.2961,0.1967,0.8321,0.2639,0.288,1.6868
0.0951,0.2911,0.1929,0.6309,0.2558,0.2861,5.3601
0.087,0.284,0.1888,0.6781,0.2718,0.3529,1.982
0.0939,0.2749,0.2382,1.1013,0.3479,0.3147,4.9198
0.1011,0.3211,0.1919,0.8171,0.2711,0.2689,1.9581
0.0851,0.2933,0.2429,0.9232,0.3059,0.2728,1.9491
0.0911,0.2897,0.212,0.649,0.267,0.3233,2.0611
0.0842,0.2842,0.2151,0.967,0.2649,0.3028,5.4898
0.0839,0.3169,0.191,0.7958,0.3152,0.282,1.7061
0.0882,0.3452,0.3309,0.8249,0.2654,0.2797,1.569
0.0918,0.3192,0.232,0.5352,0.3829,0.2759,2.0471
0.118,0.2937,0.236,0.6669,0.3638,0.3352,1.478
0.0939,0.2868,0.2148,0.6769,0.4451,0.2799,1.6861
0.1631,0.3428,0.2089,0.7999,0.2863,0.2859,1.426
0.1264,0.3731,0.2482,0.8771,0.2661,0.3302,1.5149
0.1049,0.3662,0.2041,0.7191,0.2897,0.2968,1.9059
0.176,0.304,0.1969,0.8161,0.2651,0.2978,1.9779
0.1018,0.289,0.236,0.505,0.4253,0.2828,2.048
0.0892,0.293,0.2191,0.6089,0.2811,0.3529,1.965
0.0868,0.294,0.222,0.7951,0.3369,0.5009,2.9819
0.0889,0.577,0.2351,0.7472,0.2909,0.277,5.095
0.0839,0.6702,0.2019,0.9527,0.67,0.3269,1.9081
0.0939,0.3819,0.2189,0.896,0.329,0.3579,1.601
0.0923,0.335,0.2582,0.5491,0.2799,0.3061,2.0599
0.0901,0.3519,0.2019,0.912,0.2611,0.3798,2.409
0.0949,0.7491,0.236,0.4151,0.365,0.3788,1.622
0.0899,0.5434,0.2162,0.7119,0.257,0.3829,1.8451
0.0932,0.5119,0.221,0.622,0.2561,0.3471,1.6778
0.0899,0.325,0.2067,0.6149,0.375,0.5372,1.4141
0.1018,0.5476,0.1879,0.6142,0.319,0.5119,1.9562
