heap,bptree,hash,sequential,isam,brin,rtree
213.2862,38.563,69.0191,0.3169,0.1769,0.2651,15.6963
213.8388,38.583,38.6391,0.2959,0.1142,0.2108,8.9862
213.459,40.539,38.6078,0.2933,0.1118,0.2081,6.6061
214.56,39.216,38.25,0.2687,0.109,0.206,15.1112
213.85,38.7828,19.1298,0.2851,0.108,0.2062,10.1283
216.0861,38.3801,38.1091,0.2801,0.107,0.221,5.3468
215.5008,40.6117,19.815,0.2949,0.108,0.304,3.921
213.7599,38.523,40.1132,0.246,0.109,0.2239,6.6023
214.613,37.4532,38.857,0.278,0.1171,0.2999,10.4041
213.9361,39.7542,38.9152,0.2899,0.1349,0.2289,3.829
213.5539,38.8141,39.3269,0.2651,0.1159,0.288,2.5141
212.949,36.8261,39.5131,0.2639,0.1137,0.222,12.7079
212.923,39.0804,38.5611,0.289,0.1128,0.2348,10.9611
212.7349,38.6648,38.4672,0.288,0.114,0.2737,12.4612
213.2812,39.3829,19.2311,0.2739,0.1512,0.2632,5.2583
213.4571,37.8911,19.1271,0.2949,0.1152,0.2103,5.5521
212.1079,39.9911,38.5828,0.2823,0.1109,0.21,4.6411
211.2069,36.4637,19.2182,0.288,0.1132,0.2229,5.1911
213.021,37.9708,19.0947,0.293,0.1218,0.222,5.7189
213.9041,37.1931,45.6929,0.2661,0.1149,0.2232,4.8139
212.7328,36.4308,43.9811,0.282,0.1099,0.2091,5.0693
213.4559,39.1691,20.8671,0.2909,0.1099,0.2208,4.643
212.5859,39.284,20.9947,0.3371,0.138,0.216,4.4332
212.8301,38.481,40.8242,0.2842,0.1161,0.212,3.3569
212.8701,40.1852,19.7551,0.2501,0.108,0.222,5.5699
212.4012,37.2708,19.012,0.242,0.129,0.2213,9.6211
213.2978,41.1952,38.307,0.2539,0.1519,0.2379,7.7779
212.883,38.204,20.7078,0.2291,0.1438,0.226,9.3851
213.3548,38.723,40.5819,0.2439,0.1221,0.2098,7.18
215.4899,37.1499,19.6643,0.242,0.1171,0.2222,9.8529
214.5021,39.8929,19.197,0.2241,0.1109,0.2229,8.5959
213.7132,38.64,19.9339,0.2408,0.109,0.2203,6.0139
213.872,38.5199,40.256,0.253,0.1128,0.2048,4.6871
213.2421,38.717,22.3501,0.2332,0.1099,0.2241,3.6209
213.526,37.5721,42.6042,0.2258,0.1099,0.2201,5.9159
