heap,bptree,hash,sequential,isam,brin,rtree
15.0013,33.9949,36.0086,44.0016,43.0379,37.0014,55.0005
15.0359,31.9991,42.9993,56.0303,33.9639,61.0018,37.9972
14.9932,34.0002,41.003,53.3159,53.9997,36.0367,45.9976
13.9644,32.0003,40.0009,41.9807,32.0337,42.9616,39.0003
15.9564,32.0005,29.0062,52.1076,32.9971,31.0092,130.0039
18.0016,42.006,47.7057,45.4412,36.9618,41.029,36.0341
15.9998,45.001,38.9993,39.9306,31.0373,32.9621,40.0364
14.9953,49.9959,27.9989,49.3124,40.9689,33.0389,37.9632
12.964,61.0383,19.9947,48.9995,24.9979,35.006,25.9998
13.0,48.9676,21.9996,34.9989,31.9998,52.9935,32.0005
12.9962,46.9978,20.9994,98.9971,22.9995,40.0026,32.007
11.9622,45.9967,31.9996,78.0008,23.0,33.9975,32.9983
15.9628,36.9995,20.0,37.9987,23.0007,33.0062,33.9956
11.9619,48.0011,32.0005,35.9995,22.9998,33.0017,34.5693
12.9635,51.9993,57.0006,53.0033,24.0002,37.05,33.1321
11.9944,36.0,47.9991,60.997,31.6701,42.0344,113.6899
11.0371,35.9998,13.9999,42.0024,22.9995,42.9711,33.998
12.0106,44.0023,28.0054,61.003,23.9997,41.9986,31.0001
14.0023,35.9979,27.9944,52.9993,22.0015,43.9947,30.9968
15.9993,35.0001,20.9999,51.9981,30.9997,33.0393,34.0021
16.6113,43.9997,21.0009,65.3615,23.999,44.971,47.0035
15.0001,39.0439,28.9998,54.9998,23.0007,43.9949,35.033
15.0006,36.0022,20.999,62.9981,23.9992,43.9951,33.0012
17.9994,42.9952,22.0027,32.0318,25.0006,31.9982,34.9622
13.9983,33.9994,28.9993,56.9656,24.9994,42.0394,32.0039
14.0388,33.9983,29.9995,43.0028,24.0002,42.9597,34.9979
14.9581,33.9639,28.9986,44.0028,34.0016,32.0039,32.4419
16.0065,33.2363,22.001,52.0308,24.9984,29.9971,36.3436
15.0039,32.9592,22.0034,67.9979,26.0019,31.0361,36.0317
14.9989,32.9998,28.9967,54.0001,33.0014,31.9624,35.9979
15.044,32.0001,21.0273,48.0025,25.0015,33.0427,32.9697
14.9603,39.0325,26.0134,55.963,55.0017,33.9572,36.0367
18.961,32.0003,21.9588,51.0046,51.9967,30.0057,35.9988
15.0015,39.0003,22.0003,43.9978,26.0005,45.0366,113.9655
16.9976,32.0046,31.0416,48.0015,25.0022,40.9575,46.0339
14.9918,32.9998,21.4524,60.0009,25.9998,39.0058,32.9649
13.9992,32.0005,27.9968,42.995,34.9963,29.0005,33.0002
16.0313,31.9998,21.6966,55.0046,32.9981,39.0,33.0324
13.9956,32.001,21.0183,53.9994,35.9995,29.001,44.9672
18.9967,48.9998,28.7318,40.3578,31.9993,28.9984,35.0442
15.9936,34.9987,29.8119,72.9246,29.001,27.9949,31.9881
14.997,41.9965,28.8131,45.3424,27.0019,30.0057,32.0008
15.9976,38.9993,23.1566,44.1508,38.0361,27.9996,31.9669
14.0393,41.0044,31.1899,36.0391,31.9707,37.9999,36.0355
13.0041,35.995,32.9332,63.9606,39.9914,28.9998,33.0005
16.0425,41.0001,31.0013,50.0054,38.0008,28.0008,31.9645
13.9997,32.0003,22.9588,36.9945,52.0022,44.9929,35.0375
13.962,39.0,29.9983,39.0041,52.999,37.0064,33.9983
14.0002,32.9998,23.005,37.9975,47.3135,42.9976,31.9986
15.9621,31.9996,21.9946,53.9992,49.9032,32.3222,31.9653
13.9616,31.9998,22.9993,36.999,47.1239,48.4476,52.0027
13.9973,33.0005,29.9983,48.0011,38.825,53.9989,41.9996
12.9821,32.0001,32.0053,48.0039,60.5285,26.0341,45.0363
12.9614,31.9998,33.0353,37.9977,33.9925,36.9663,49.9632
12.9814,33.9999,22.9592,46.998,34.0006,26.9997,154.0337
13.0165,40.0004,32.0067,38.0354,45.006,35.0006,42.9914
12.9628,42.0387,30.0372,38.965,30.9932,27.0,41.0054
12.958,41.9672,22.9971,46.0017,43.0002,25.9986,42.0012
12.0015,54.1072,16.5777,52.0027,23.9973,25.0351,23.0036
12.9697,42.0282,19.9981,31.9965,33.0031,36.9644,33.9961
10.9928,41.0805,19.0017,34.0018,24.9941,29.0003,33.0
12.0053,39.9973,30.9997,64.0075,22.0008,25.0406,34.0421
13.9642,33.0026,18.9741,43.9985,23.1898,24.9987,34.0042
16.0325,42.0415,30.5257,41.0123,23.5245,24.9968,33.293
11.0009,44.9557,47.4315,66.9818,22.9981,24.9693,32.0005
10.9942,35.0003,41.1415,62.9985,32.0063,35.0382,114.9981
12.0053,36.0067,12.0049,42.0003,24.0357,34.0009,32.0086
11.0347,39.9969,25.9988,61.9996,22.963,33.9553,31.9901
10.9992,33.9968,26.9961,57.0004,23.0453,33.0033,31.004
10.9644,33.9999,20.0002,50.0002,29.974,24.9977,32.0001
