read,write
15,2
15,2
15,2
135,9
16,2
145,9
2768,100
2069,52
38,2
38,2
38,2
38,2
38,2
38,2
38,2
38,2
39,3
38,2
38,2
38,2
38,2
38,2
38,2
38,2
38,2
39,3
38,2
38,2
38,2
38,2
38,2
38,2
38,2
38,2
39,3
38,2
38,2
38,2
38,2
38,2
38,2
38,2
38,2
39,3
38,2
38,2
38,2
38,2
38,2
38,2
